,Brand,Processor,RAM (GB),Storage Type,Storage Size,GPU,Screen Size (inch),Resolution,Battery Life (hours),Weight (kg),Operating System,Price ($),Price Category
37,Dell,AMD Ryzen 9,32,SSD,2048.0,AMD Radeon RX 6800,13.3,1920x1080,7.2,3.32,FreeDOS,2770.48,High-End
38,MSI,Intel i9,16,SSD,1024.0,Nvidia GTX 1650,13.3,1920x1080,7.5,2.08,macOS,2516.31,High-End
39,Microsoft,Intel i3,8,SSD,2048.0,Nvidia RTX 2060,15.6,2560x1440,5.0,3.48,macOS,1083.11,Mid-End
40,Samsung,Intel i9,32,SSD,1024.0,Integrated,16.0,3840x2160,7.6,1.32,FreeDOS,3323.89,Luxury
41,Asus,AMD Ryzen 5,4,SSD,512.0,Nvidia GTX 1650,16.0,3840x2160,11.6,3.38,FreeDOS,1759.04,High-End
42,Dell,AMD Ryzen 5,4,SSD,1024.0,Nvidia RTX 3060,13.3,1920x1080,8.0,2.69,macOS,990.18,Mid-End
43,Apple,Intel i9,32,SSD,2048.0,Nvidia GTX 1650,17.3,2560x1440,5.7,1.83,Windows,5373.59,Luxury
44,Acer,Intel i7,16,SSD,256.0,Integrated,16.0,2560x1440,6.6,3.39,Linux,1332.62,Mid-End
45,Microsoft,AMD Ryzen 3,32,SSD,512.0,Nvidia GTX 1650,16.0,1366x768,11.3,1.83,FreeDOS,1161.02,Mid-End
46,Lenovo,Intel i5,16,SSD,1024.0,Nvidia GTX 1650,16.0,3840x2160,10.0,2.07,macOS,2256.02,High-End
47,MSI,Intel i9,16,SSD,1024.0,Integrated,17.3,3840x2160,10.3,3.16,Windows,3116.24,Luxury
48,Acer,AMD Ryzen 9,16,SSD,2048.0,Integrated,14.0,2560x1440,4.5,2.09,FreeDOS,1748.58,High-End
49,Asus,Intel i5,64,SSD,512.0,Nvidia RTX 3060,14.0,1920x1080,10.3,1.4,Windows,2521.5,High-End
50,HP,AMD Ryzen 9,32,SSD,1024.0,Nvidia RTX 2060,16.0,2560x1440,9.6,3.2,FreeDOS,3493.59,Luxury
51,HP,AMD Ryzen 7,16,SSD,512.0,Nvidia RTX 3060,17.3,1366x768,11.1,2.2,macOS,1298.68,Mid-End
52,HP,AMD Ryzen 5,64,SSD,512.0,Integrated,16.0,2560x1440,5.9,3.24,FreeDOS,2280.87,High-End
53,Asus,Intel i3,8,SSD,256.0,Nvidia GTX 1650,14.0,1366x768,4.8,1.48,macOS,765.95,Low-End
54,Asus,AMD Ryzen 7,64,SSD,256.0,AMD Radeon RX 6800,16.0,1920x1080,7.5,2.53,Windows,3217.82,Luxury
55,Lenovo,Intel i3,16,SSD,512.0,AMD Radeon RX 6800,16.0,1920x1080,4.6,2.32,Windows,1261.48,Mid-End
56,Asus,AMD Ryzen 9,8,HDD,1024.0,AMD Radeon RX 6800,13.3,2560x1440,8.2,2.15,FreeDOS,1866.8,High-End
57,Lenovo,Intel i7,4,SSD,256.0,Integrated,13.3,3840x2160,7.8,1.23,macOS,1377.57,Mid-End
58,Asus,AMD Ryzen 7,8,SSD,2048.0,Nvidia GTX 1650,13.3,3840x2160,8.1,2.06,macOS,2031.19,High-End
59,MSI,AMD Ryzen 3,16,SSD,2048.0,Nvidia RTX 3060,14.0,3840x2160,6.2,1.22,macOS,2139.88,High-End
60,Lenovo,Intel i3,64,SSD,256.0,Nvidia RTX 3080,17.3,2560x1440,5.3,3.22,Linux,2751.07,High-End
61,Lenovo,Intel i7,4,SSD,2048.0,Integrated,16.0,3840x2160,6.2,2.52,Windows,1524.94,High-End
62,Acer,AMD Ryzen 3,32,SSD,2048.0,AMD Radeon RX 6800,17.3,2560x1440,6.3,2.12,Windows,1930.67,High-End
63,Asus,AMD Ryzen 7,8,HDD,1024.0,Nvidia RTX 3080,16.0,1920x1080,7.8,1.67,macOS,1267.84,Mid-End
64,Apple,Intel i5,64,SSD,512.0,Nvidia RTX 3080,14.0,3840x2160,10.9,2.25,Windows,5768.75,Luxury
65,Dell,AMD Ryzen 3,8,SSD,512.0,Nvidia RTX 3060,13.3,2560x1440,4.3,2.5,macOS,951.4,Mid-End
66,Samsung,AMD Ryzen 5,8,HDD,1024.0,AMD Radeon RX 6800,14.0,1366x768,9.4,2.01,Linux,625.2,Low-End
67,Microsoft,Intel i9,16,SSD,512.0,Nvidia GTX 1650,17.3,1920x1080,4.4,1.87,FreeDOS,2113.77,High-End
68,HP,AMD Ryzen 7,4,SSD,2048.0,Nvidia GTX 1650,15.6,1920x1080,9.7,1.9,FreeDOS,1310.03,Mid-End
69,Microsoft,AMD Ryzen 7,32,SSD,2048.0,Nvidia RTX 3060,14.0,3840x2160,7.0,1.44,macOS,3286.45,Luxury
70,HP,AMD Ryzen 9,8,SSD,256.0,Nvidia GTX 1650,14.0,2560x1440,5.1,1.76,Windows,2080.79,High-End
71,Asus,Intel i5,16,SSD,1024.0,Nvidia GTX 1650,16.0,1920x1080,6.6,3.11,macOS,1278.54,Mid-End
72,Razer,Intel i9,16,SSD,256.0,Integrated,14.0,3840x2160,4.6,2.47,FreeDOS,2996.04,High-End
73,HP,Intel i7,4,HDD,1024.0,Nvidia GTX 1650,16.0,1366x768,10.1,1.57,Windows,871.35,Mid-End
74,Acer,Intel i3,64,SSD,512.0,AMD Radeon RX 6600,15.6,2560x1440,11.2,2.55,Linux,2768.44,High-End
75,Microsoft,Intel i7,32,SSD,256.0,AMD Radeon RX 6800,17.3,3840x2160,4.3,1.72,Linux,3745.39,Luxury
76,Dell,Intel i9,32,HDD,1024.0,Nvidia RTX 2060,14.0,3840x2160,6.1,3.06,macOS,3556.24,Luxury
77,Asus,AMD Ryzen 5,4,SSD,2048.0,AMD Radeon RX 6800,14.0,1366x768,7.8,3.06,macOS,782.66,Low-End
78,Samsung,Intel i3,8,SSD,512.0,AMD Radeon RX 6600,14.0,1366x768,7.2,2.54,FreeDOS,863.34,Mid-End
79,MSI,Intel i3,8,SSD,512.0,AMD Radeon RX 6600,13.3,3840x2160,5.9,1.33,macOS,1784.77,High-End
80,Lenovo,Intel i3,4,SSD,1024.0,Nvidia RTX 3060,16.0,2560x1440,7.2,3.43,macOS,1164.94,Mid-End
81,Microsoft,Intel i3,8,HDD,1024.0,Nvidia GTX 1650,14.0,3840x2160,9.6,1.83,Windows,1247.91,Mid-End
82,Asus,Intel i9,32,SSD,512.0,Nvidia RTX 2060,16.0,1366x768,8.3,2.8,Windows,2480.96,High-End
83,Acer,AMD Ryzen 7,8,SSD,512.0,Nvidia RTX 2060,13.3,1366x768,10.7,1.84,macOS,1159.62,Mid-End
84,Asus,AMD Ryzen 7,16,SSD,2048.0,Nvidia RTX 3080,15.6,2560x1440,4.7,1.46,Windows,1947.07,High-End
85,Microsoft,Intel i7,32,SSD,2048.0,AMD Radeon RX 6600,16.0,1920x1080,11.8,1.48,FreeDOS,2113.62,High-End
86,Acer,AMD Ryzen 3,64,HDD,1024.0,Nvidia RTX 2060,17.3,1366x768,9.9,1.69,Windows,1486.61,Mid-End
87,Apple,AMD Ryzen 9,4,SSD,2048.0,Integrated,13.3,2560x1440,11.2,1.61,Windows,1804.49,High-End
88,Lenovo,AMD Ryzen 5,4,SSD,512.0,AMD Radeon RX 6600,14.0,1366x768,11.2,3.02,FreeDOS,691.35,Low-End
89,Asus,AMD Ryzen 5,8,SSD,1024.0,Nvidia RTX 3080,13.3,1366x768,8.5,1.42,FreeDOS,789.61,Low-End
90,Razer,AMD Ryzen 7,8,SSD,2048.0,AMD Radeon RX 6600,13.3,2560x1440,4.1,1.44,Linux,2312.14,High-End
91,Dell,AMD Ryzen 5,32,SSD,2048.0,Nvidia RTX 3060,16.0,1920x1080,4.2,1.52,macOS,1748.97,High-End
92,Apple,Intel i9,16,HDD,1024.0,AMD Radeon RX 6800,16.0,2560x1440,9.4,2.65,FreeDOS,3428.94,Luxury
93,Dell,AMD Ryzen 3,8,SSD,1024.0,Nvidia RTX 3060,14.0,3840x2160,9.4,1.69,macOS,1340.49,Mid-End
94,Asus,Intel i5,16,SSD,1024.0,Nvidia RTX 3060,15.6,3840x2160,6.4,3.31,macOS,2120.59,High-End
95,Apple,AMD Ryzen 3,32,SSD,2048.0,Nvidia RTX 3080,15.6,3840x2160,8.6,2.55,macOS,3496.93,Luxury
96,Samsung,Intel i3,8,SSD,256.0,Nvidia RTX 3080,17.3,1920x1080,10.1,2.45,Linux,972.19,Mid-End
97,Lenovo,AMD Ryzen 5,64,SSD,512.0,AMD Radeon RX 6800,14.0,2560x1440,11.5,1.51,macOS,3038.1,Luxury
98,Asus,AMD Ryzen 7,64,SSD,1024.0,Nvidia RTX 3080,17.3,1366x768,7.9,1.77,Windows,2793.54,High-End
99,Asus,Intel i7,64,SSD,256.0,Nvidia RTX 3060,15.6,1366x768,10.5,2.43,Windows,2821.78,High-End
100,Apple,Intel i5,32,SSD,1024.0,Integrated,17.3,1366x768,7.1,1.73,Windows,1548.95,High-End
101,Dell,AMD Ryzen 5,4,SSD,1024.0,Integrated,15.6,2560x1440,11.8,3.45,FreeDOS,962.25,Mid-End
102,Razer,AMD Ryzen 7,32,SSD,256.0,Nvidia RTX 3080,16.0,3840x2160,10.7,1.7,macOS,5173.63,Luxury
103,Dell,Intel i5,64,SSD,256.0,AMD Radeon RX 6600,14.0,1920x1080,10.1,1.78,FreeDOS,2240.32,High-End
104,MSI,AMD Ryzen 3,16,SSD,512.0,AMD Radeon RX 6800,17.3,3840x2160,10.8,2.82,Windows,2354.8,High-End
105,Acer,Intel i7,8,SSD,256.0,Nvidia RTX 3080,15.6,3840x2160,5.8,1.52,macOS,2358.06,High-End
106,HP,AMD Ryzen 7,64,SSD,256.0,AMD Radeon RX 6800,14.0,3840x2160,6.7,1.48,Linux,4813.04,Luxury
107,MSI,AMD Ryzen 5,64,SSD,512.0,AMD Radeon RX 6800,15.6,1366x768,10.8,3.22,FreeDOS,2792.77,High-End
108,Microsoft,Intel i3,32,SSD,1024.0,Nvidia RTX 3060,17.3,3840x2160,4.5,2.95,Linux,2567.52,High-End
109,HP,Intel i3,8,SSD,256.0,Nvidia RTX 3060,17.3,1920x1080,5.3,1.97,FreeDOS,914.84,Mid-End
110,Microsoft,Intel i7,4,SSD,1024.0,Nvidia RTX 3080,17.3,2560x1440,11.0,2.44,Windows,1602.39,High-End
111,Microsoft,AMD Ryzen 9,64,SSD,256.0,Integrated,17.3,1920x1080,9.5,2.99,Linux,2922.91,High-End
112,HP,AMD Ryzen 3,8,SSD,256.0,Nvidia GTX 1650,16.0,1920x1080,11.0,2.82,FreeDOS,873.57,Mid-End
113,MSI,Intel i3,4,SSD,2048.0,Nvidia RTX 2060,13.3,2560x1440,5.5,1.38,FreeDOS,1119.51,Mid-End
114,Lenovo,Intel i9,32,SSD,256.0,Nvidia GTX 1650,15.6,3840x2160,9.2,1.61,FreeDOS,4857.55,Luxury
115,MSI,AMD Ryzen 5,8,HDD,1024.0,Integrated,16.0,3840x2160,5.8,2.48,macOS,1407.17,Mid-End
116,Lenovo,Intel i7,4,SSD,2048.0,AMD Radeon RX 6800,16.0,1366x768,5.4,1.75,Windows,938.96,Mid-End
117,Asus,AMD Ryzen 5,4,SSD,2048.0,Nvidia RTX 3060,17.3,3840x2160,9.2,3.3,Linux,1565.19,High-End
118,Lenovo,AMD Ryzen 3,64,SSD,256.0,AMD Radeon RX 6600,13.3,3840x2160,10.9,1.99,FreeDOS,3422.47,Luxury
119,Samsung,AMD Ryzen 3,64,SSD,512.0,Nvidia GTX 1650,14.0,2560x1440,7.5,1.91,Linux,2478.83,High-End
120,Razer,AMD Ryzen 9,16,SSD,1024.0,Nvidia RTX 3060,16.0,1920x1080,10.5,1.88,FreeDOS,3180.88,Luxury
121,Microsoft,AMD Ryzen 7,8,SSD,2048.0,AMD Radeon RX 6800,16.0,2560x1440,5.7,2.82,Linux,1696.83,High-End
122,Asus,AMD Ryzen 7,16,SSD,512.0,Nvidia RTX 3060,15.6,3840x2160,10.6,1.81,FreeDOS,2687.06,High-End
123,HP,Intel i3,4,HDD,1024.0,AMD Radeon RX 6600,14.0,2560x1440,4.9,2.04,macOS,922.21,Mid-End
124,Razer,Intel i3,32,HDD,1024.0,AMD Radeon RX 6600,14.0,1920x1080,4.9,3.2,FreeDOS,1489.43,Mid-End
125,Razer,AMD Ryzen 7,64,HDD,1024.0,AMD Radeon RX 6800,14.0,3840x2160,10.1,2.8,Linux,5766.77,Luxury
126,Asus,AMD Ryzen 3,32,SSD,1024.0,Nvidia RTX 3080,16.0,3840x2160,4.4,1.75,Windows,2490.41,High-End
127,MSI,Intel i9,64,SSD,512.0,Integrated,17.3,2560x1440,4.7,1.38,FreeDOS,4705.97,Luxury
128,Lenovo,Intel i7,64,SSD,512.0,AMD Radeon RX 6800,16.0,2560x1440,8.0,2.14,macOS,4036.38,Luxury
129,MSI,AMD Ryzen 3,4,HDD,1024.0,Nvidia GTX 1650,16.0,2560x1440,6.5,1.89,Windows,1261.77,Mid-End
130,Samsung,AMD Ryzen 5,8,HDD,1024.0,Integrated,17.3,1366x768,11.0,2.66,Linux,620.44,Low-End
131,HP,Intel i5,32,SSD,2048.0,Nvidia GTX 1650,13.3,3840x2160,7.4,2.7,Linux,2500.94,High-End
132,Lenovo,Intel i9,32,SSD,2048.0,Nvidia RTX 2060,15.6,1366x768,10.9,3.17,Windows,2431.14,High-End
133,Asus,Intel i5,4,SSD,1024.0,Nvidia RTX 3080,14.0,2560x1440,11.5,3.43,macOS,1217.24,Mid-End
134,MSI,Intel i5,4,SSD,512.0,AMD Radeon RX 6800,16.0,1366x768,5.8,2.4,Linux,954.65,Mid-End
135,HP,AMD Ryzen 5,8,SSD,1024.0,Nvidia GTX 1650,17.3,1920x1080,5.7,3.07,FreeDOS,1250.43,Mid-End
136,Acer,AMD Ryzen 5,64,SSD,512.0,Nvidia RTX 3060,17.3,2560x1440,6.3,1.37,Windows,3401.59,Luxury
137,HP,AMD Ryzen 7,64,SSD,1024.0,Integrated,13.3,1920x1080,4.3,1.31,FreeDOS,2041.37,High-End
138,Lenovo,Intel i9,64,SSD,1024.0,Nvidia RTX 3080,13.3,2560x1440,10.3,2.99,macOS,4995.89,Luxury
139,HP,AMD Ryzen 7,4,HDD,1024.0,Nvidia GTX 1650,15.6,1366x768,7.1,2.63,macOS,777.38,Low-End
140,Acer,Intel i5,8,SSD,2048.0,AMD Radeon RX 6800,16.0,3840x2160,11.7,3.27,Windows,1969.19,High-End
141,Apple,Intel i5,8,SSD,256.0,Nvidia RTX 2060,14.0,3840x2160,5.2,2.1,Linux,2607.44,High-End
142,Microsoft,Intel i9,16,HDD,1024.0,Nvidia RTX 3060,15.6,1920x1080,11.3,1.81,macOS,1776.13,High-End
143,Microsoft,AMD Ryzen 9,32,SSD,1024.0,Nvidia RTX 3080,13.3,1920x1080,11.8,1.28,Linux,2721.4,High-End
144,HP,AMD Ryzen 5,16,SSD,512.0,AMD Radeon RX 6600,16.0,1366x768,8.9,1.75,Windows,1016.16,Mid-End
145,Acer,AMD Ryzen 3,4,SSD,1024.0,Integrated,15.6,1920x1080,7.8,1.66,FreeDOS,590.45,Low-End
146,Razer,Intel i9,8,SSD,1024.0,Nvidia RTX 2060,15.6,1920x1080,8.7,2.78,Linux,2549.6,High-End
147,Asus,AMD Ryzen 3,32,SSD,512.0,Nvidia RTX 2060,17.3,1920x1080,11.9,1.63,FreeDOS,1609.14,High-End
148,Acer,AMD Ryzen 7,64,SSD,2048.0,AMD Radeon RX 6800,16.0,3840x2160,6.5,2.09,Linux,5483.75,Luxury
149,Dell,AMD Ryzen 3,8,SSD,1024.0,Nvidia RTX 3060,15.6,1366x768,5.5,1.28,Linux,728.2,Low-End
150,Acer,Intel i3,4,SSD,1024.0,Nvidia GTX 1650,13.3,1366x768,8.9,3.45,Windows,545.58,Low-End
151,Apple,Intel i5,16,SSD,512.0,Integrated,17.3,1366x768,11.6,2.83,Linux,1092.08,Mid-End
152,Razer,Intel i3,8,SSD,1024.0,AMD Radeon RX 6600,17.3,2560x1440,11.7,1.76,FreeDOS,1641.64,High-End
153,Razer,Intel i9,16,SSD,512.0,Nvidia RTX 3080,17.3,1920x1080,4.5,2.85,FreeDOS,3066.57,Luxury
154,Samsung,AMD Ryzen 9,32,SSD,512.0,Integrated,15.6,1366x768,6.4,3.01,Linux,1735.86,High-End
155,Asus,AMD Ryzen 9,8,SSD,512.0,Nvidia RTX 3080,14.0,3840x2160,8.0,1.77,Windows,2895.86,High-End
156,Samsung,AMD Ryzen 9,4,HDD,1024.0,AMD Radeon RX 6600,14.0,3840x2160,4.4,2.52,macOS,2072.73,High-End
157,Dell,AMD Ryzen 7,16,SSD,2048.0,Nvidia GTX 1650,14.0,1366x768,4.6,3.22,FreeDOS,1178.4,Mid-End
158,Apple,AMD Ryzen 9,16,SSD,1024.0,AMD Radeon RX 6600,13.3,3840x2160,11.4,1.79,FreeDOS,4918.11,Luxury
159,Microsoft,AMD Ryzen 5,64,SSD,512.0,Nvidia GTX 1650,17.3,3840x2160,11.4,2.12,Windows,4348.8,Luxury
160,Samsung,AMD Ryzen 3,4,SSD,512.0,Nvidia GTX 1650,14.0,1920x1080,6.6,2.82,macOS,734.88,Low-End
161,Razer,Intel i5,4,SSD,512.0,AMD Radeon RX 6800,16.0,1920x1080,6.6,2.83,Windows,1369.42,Mid-End
162,Acer,AMD Ryzen 3,64,SSD,1024.0,Integrated,15.6,3840x2160,7.6,1.8,FreeDOS,2531.45,High-End
163,Samsung,Intel i7,16,SSD,2048.0,Nvidia RTX 2060,17.3,2560x1440,10.4,1.42,Windows,2018.16,High-End
164,Acer,Intel i9,32,SSD,512.0,Integrated,15.6,1366x768,11.6,2.55,Windows,1633.4,High-End
165,Lenovo,AMD Ryzen 7,4,SSD,512.0,Nvidia GTX 1650,15.6,2560x1440,10.4,3.1,Windows,1528.92,High-End
166,Microsoft,AMD Ryzen 5,64,SSD,512.0,Nvidia RTX 3080,13.3,3840x2160,7.9,1.85,Windows,3845.91,Luxury
167,Apple,AMD Ryzen 5,16,SSD,256.0,Nvidia RTX 3080,15.6,1920x1080,9.8,1.45,macOS,1864.34,High-End
168,Apple,AMD Ryzen 3,16,SSD,1024.0,Integrated,17.3,3840x2160,9.2,1.94,Linux,1828.29,High-End
169,Apple,Intel i3,64,SSD,512.0,AMD Radeon RX 6600,14.0,2560x1440,7.0,1.35,FreeDOS,3838.22,Luxury
170,Razer,AMD Ryzen 3,32,SSD,512.0,Nvidia RTX 3060,16.0,2560x1440,5.8,1.86,FreeDOS,2475.0,High-End
171,Microsoft,AMD Ryzen 5,32,SSD,1024.0,Nvidia RTX 2060,13.3,3840x2160,12.0,2.5,Windows,2631.83,High-End
172,Samsung,Intel i3,4,SSD,2048.0,Integrated,17.3,1920x1080,11.5,3.29,Windows,462.82,Low-End
173,Dell,AMD Ryzen 7,16,SSD,2048.0,AMD Radeon RX 6600,13.3,1366x768,9.4,2.42,FreeDOS,1381.3,Mid-End
174,Razer,AMD Ryzen 9,4,SSD,512.0,AMD Radeon RX 6600,16.0,1920x1080,6.5,2.32,macOS,2225.01,High-End
175,Acer,Intel i9,64,SSD,1024.0,Integrated,15.6,1920x1080,8.3,3.06,macOS,2970.68,High-End
176,Asus,AMD Ryzen 3,64,SSD,256.0,AMD Radeon RX 6600,14.0,1366x768,11.1,3.26,FreeDOS,1697.07,High-End
177,Acer,AMD Ryzen 3,32,HDD,1024.0,Nvidia RTX 3060,17.3,1920x1080,7.1,1.41,FreeDOS,1321.09,Mid-End
178,Dell,AMD Ryzen 9,32,SSD,256.0,AMD Radeon RX 6800,16.0,2560x1440,6.8,2.32,Linux,3739.27,Luxury
179,Apple,AMD Ryzen 3,4,SSD,2048.0,Nvidia RTX 3060,16.0,1920x1080,7.9,2.69,FreeDOS,1134.98,Mid-End
180,Samsung,AMD Ryzen 5,64,SSD,2048.0,Nvidia GTX 1650,13.3,1366x768,10.9,2.33,Windows,2105.65,High-End
181,HP,AMD Ryzen 9,8,SSD,256.0,Nvidia RTX 3060,14.0,1366x768,11.8,3.28,Linux,1434.82,Mid-End
182,MSI,AMD Ryzen 7,4,SSD,1024.0,Nvidia GTX 1650,17.3,3840x2160,10.5,1.33,FreeDOS,2551.92,High-End
183,Microsoft,Intel i5,32,HDD,1024.0,AMD Radeon RX 6800,16.0,1366x768,4.3,2.42,Windows,1118.11,Mid-End
184,Samsung,AMD Ryzen 9,16,SSD,2048.0,AMD Radeon RX 6600,16.0,3840x2160,6.3,1.56,Linux,3729.28,Luxury
185,Microsoft,Intel i3,8,HDD,1024.0,Nvidia GTX 1650,14.0,2560x1440,10.4,3.06,Linux,1001.65,Mid-End
186,Asus,Intel i7,16,SSD,2048.0,Nvidia GTX 1650,14.0,3840x2160,4.1,2.59,Windows,2352.27,High-End
187,HP,AMD Ryzen 3,64,SSD,1024.0,Nvidia RTX 2060,15.6,1920x1080,6.7,1.24,FreeDOS,2144.65,High-End
188,Dell,AMD Ryzen 9,4,HDD,1024.0,Nvidia GTX 1650,14.0,2560x1440,6.0,2.56,Linux,1443.2,Mid-End
189,Acer,AMD Ryzen 3,8,HDD,1024.0,Integrated,17.3,1920x1080,4.4,3.49,FreeDOS,554.72,Low-End
190,Apple,Intel i5,8,SSD,512.0,Integrated,13.3,1920x1080,5.7,1.24,macOS,1087.07,Mid-End
191,Samsung,Intel i7,16,SSD,256.0,Nvidia RTX 3080,14.0,1920x1080,11.5,3.3,FreeDOS,1619.29,High-End
192,Apple,Intel i5,64,SSD,512.0,AMD Radeon RX 6600,17.3,1920x1080,9.4,2.82,FreeDOS,3998.58,Luxury
193,Apple,Intel i3,64,HDD,1024.0,Integrated,15.6,1366x768,6.8,1.79,Windows,1468.97,Mid-End
194,Samsung,AMD Ryzen 5,16,HDD,1024.0,Nvidia RTX 3080,17.3,1366x768,7.9,2.07,macOS,908.56,Mid-End
195,HP,AMD Ryzen 9,32,SSD,1024.0,Nvidia RTX 3060,17.3,2560x1440,4.2,2.36,FreeDOS,3667.64,Luxury
196,Samsung,AMD Ryzen 3,16,SSD,256.0,AMD Radeon RX 6600,15.6,2560x1440,4.9,2.5,Linux,1314.19,Mid-End
197,Asus,AMD Ryzen 9,32,SSD,1024.0,AMD Radeon RX 6600,13.3,1366x768,9.6,3.17,FreeDOS,2194.29,High-End
198,Lenovo,AMD Ryzen 3,4,SSD,1024.0,Nvidia RTX 2060,17.3,1920x1080,6.7,1.28,Linux,900.51,Mid-End
