Brand,Processor,RAM (GB),Storage Type,Storage Size,GPU,Screen Size (inch),Resolution,Battery Life (hours),Weight (kg),Operating System,Price ($),Price Category
HP,AMD Ryzen 7,16,SSD,512.0,Nvidia RTX 3060,17.3,1366x768,11.1,2.2,macOS,1298.68,Mid-End
HP,AMD Ryzen 5,64,SSD,512.0,Integrated,16.0,2560x1440,5.9,3.24,FreeDOS,2280.87,High-End
Asus,Intel i3,8,SSD,256.0,Nvidia GTX 1650,14.0,1366x768,4.8,1.48,macOS,765.95,Low-End
Asus,AMD Ryzen 7,64,SSD,256.0,AMD Radeon RX 6800,16.0,1920x1080,7.5,2.53,Windows,3217.82,Luxury
Lenovo,Intel i3,16,SSD,512.0,AMD Radeon RX 6800,16.0,1920x1080,4.6,2.32,Windows,1261.48,Mid-End
Asus,AMD Ryzen 9,8,HDD,1024.0,AMD Radeon RX 6800,13.3,2560x1440,8.2,2.15,FreeDOS,1866.8,High-End
Lenovo,Intel i7,4,SSD,256.0,Integrated,13.3,3840x2160,7.8,1.23,macOS,1377.57,Mid-End
Asus,AMD Ryzen 7,8,SSD,2048.0,Nvidia GTX 1650,13.3,3840x2160,8.1,2.06,macOS,2031.19,High-End
MSI,AMD Ryzen 3,16,SSD,2048.0,Nvidia RTX 3060,14.0,3840x2160,6.2,1.22,macOS,2139.88,High-End
Lenovo,Intel i3,64,SSD,256.0,Nvidia RTX 3080,17.3,2560x1440,5.3,3.22,Linux,2751.07,High-End
Lenovo,Intel i7,4,SSD,2048.0,Integrated,16.0,3840x2160,6.2,2.52,Windows,1524.94,High-End
Acer,AMD Ryzen 3,32,SSD,2048.0,AMD Radeon RX 6800,17.3,2560x1440,6.3,2.12,Windows,1930.67,High-End
Asus,AMD Ryzen 7,8,HDD,1024.0,Nvidia RTX 3080,16.0,1920x1080,7.8,1.67,macOS,1267.84,Mid-End
Apple,Intel i5,64,SSD,512.0,Nvidia RTX 3080,14.0,3840x2160,10.9,2.25,Windows,5768.75,Luxury
Dell,AMD Ryzen 3,8,SSD,512.0,Nvidia RTX 3060,13.3,2560x1440,4.3,2.5,macOS,951.4,Mid-End
Samsung,AMD Ryzen 5,8,HDD,1024.0,AMD Radeon RX 6800,14.0,1366x768,9.4,2.01,Linux,625.2,Low-End
Microsoft,Intel i9,16,SSD,512.0,Nvidia GTX 1650,17.3,1920x1080,4.4,1.87,FreeDOS,2113.77,High-End
HP,AMD Ryzen 7,4,SSD,2048.0,Nvidia GTX 1650,15.6,1920x1080,9.7,1.9,FreeDOS,1310.03,Mid-End
Microsoft,AMD Ryzen 7,32,SSD,2048.0,Nvidia RTX 3060,14.0,3840x2160,7.0,1.44,macOS,3286.45,Luxury
HP,AMD Ryzen 9,8,SSD,256.0,Nvidia GTX 1650,14.0,2560x1440,5.1,1.76,Windows,2080.79,High-End
Asus,Intel i5,16,SSD,1024.0,Nvidia GTX 1650,16.0,1920x1080,6.6,3.11,macOS,1278.54,Mid-End
Razer,Intel i9,16,SSD,256.0,Integrated,14.0,3840x2160,4.6,2.47,FreeDOS,2996.04,High-End
HP,Intel i7,4,HDD,1024.0,Nvidia GTX 1650,16.0,1366x768,10.1,1.57,Windows,871.35,Mid-End
Acer,Intel i3,64,SSD,512.0,AMD Radeon RX 6600,15.6,2560x1440,11.2,2.55,Linux,2768.44,High-End
Microsoft,Intel i7,32,SSD,256.0,AMD Radeon RX 6800,17.3,3840x2160,4.3,1.72,Linux,3745.39,Luxury
Dell,Intel i9,32,HDD,1024.0,Nvidia RTX 2060,14.0,3840x2160,6.1,3.06,macOS,3556.24,Luxury
Asus,AMD Ryzen 5,4,SSD,2048.0,AMD Radeon RX 6800,14.0,1366x768,7.8,3.06,macOS,782.66,Low-End
Samsung,Intel i3,8,SSD,512.0,AMD Radeon RX 6600,14.0,1366x768,7.2,2.54,FreeDOS,863.34,Mid-End
MSI,Intel i3,8,SSD,512.0,AMD Radeon RX 6600,13.3,3840x2160,5.9,1.33,macOS,1784.77,High-End
Lenovo,Intel i3,4,SSD,1024.0,Nvidia RTX 3060,16.0,2560x1440,7.2,3.43,macOS,1164.94,Mid-End
Microsoft,Intel i3,8,HDD,1024.0,Nvidia GTX 1650,14.0,3840x2160,9.6,1.83,Windows,1247.91,Mid-End
Asus,Intel i9,32,SSD,512.0,Nvidia RTX 2060,16.0,1366x768,8.3,2.8,Windows,2480.96,High-End
Acer,AMD Ryzen 7,8,SSD,512.0,Nvidia RTX 2060,13.3,1366x768,10.7,1.84,macOS,1159.62,Mid-End
Asus,AMD Ryzen 7,16,SSD,2048.0,Nvidia RTX 3080,15.6,2560x1440,4.7,1.46,Windows,1947.07,High-End
Microsoft,Intel i7,32,SSD,2048.0,AMD Radeon RX 6600,16.0,1920x1080,11.8,1.48,FreeDOS,2113.62,High-End
Acer,AMD Ryzen 3,64,HDD,1024.0,Nvidia RTX 2060,17.3,1366x768,9.9,1.69,Windows,1486.61,Mid-End
Apple,AMD Ryzen 9,4,SSD,2048.0,Integrated,13.3,2560x1440,11.2,1.61,Windows,1804.49,High-End
Lenovo,AMD Ryzen 5,4,SSD,512.0,AMD Radeon RX 6600,14.0,1366x768,11.2,3.02,FreeDOS,691.35,Low-End
Asus,AMD Ryzen 5,8,SSD,1024.0,Nvidia RTX 3080,13.3,1366x768,8.5,1.42,FreeDOS,789.61,Low-End
Razer,AMD Ryzen 7,8,SSD,2048.0,AMD Radeon RX 6600,13.3,2560x1440,4.1,1.44,Linux,2312.14,High-End
Dell,AMD Ryzen 5,32,SSD,2048.0,Nvidia RTX 3060,16.0,1920x1080,4.2,1.52,macOS,1748.97,High-End
Apple,Intel i9,16,HDD,1024.0,AMD Radeon RX 6800,16.0,2560x1440,9.4,2.65,FreeDOS,3428.94,Luxury
Dell,AMD Ryzen 3,8,SSD,1024.0,Nvidia RTX 3060,14.0,3840x2160,9.4,1.69,macOS,1340.49,Mid-End
Asus,Intel i5,16,SSD,1024.0,Nvidia RTX 3060,15.6,3840x2160,6.4,3.31,macOS,2120.59,High-End
Apple,AMD Ryzen 3,32,SSD,2048.0,Nvidia RTX 3080,15.6,3840x2160,8.6,2.55,macOS,3496.93,Luxury
Samsung,Intel i3,8,SSD,256.0,Nvidia RTX 3080,17.3,1920x1080,10.1,2.45,Linux,972.19,Mid-End
Lenovo,AMD Ryzen 5,64,SSD,512.0,AMD Radeon RX 6800,14.0,2560x1440,11.5,1.51,macOS,3038.1,Luxury
Asus,AMD Ryzen 7,64,SSD,1024.0,Nvidia RTX 3080,17.3,1366x768,7.9,1.77,Windows,2793.54,High-End
Asus,Intel i7,64,SSD,256.0,Nvidia RTX 3060,15.6,1366x768,10.5,2.43,Windows,2821.78,High-End
Apple,Intel i5,32,SSD,1024.0,Integrated,17.3,1366x768,7.1,1.73,Windows,1548.95,High-End
Dell,AMD Ryzen 5,4,SSD,1024.0,Integrated,15.6,2560x1440,11.8,3.45,FreeDOS,962.25,Mid-End
Razer,AMD Ryzen 7,32,SSD,256.0,Nvidia RTX 3080,16.0,3840x2160,10.7,1.7,macOS,5173.63,Luxury
Dell,Intel i5,64,SSD,256.0,AMD Radeon RX 6600,14.0,1920x1080,10.1,1.78,FreeDOS,2240.32,High-End
MSI,AMD Ryzen 3,16,SSD,512.0,AMD Radeon RX 6800,17.3,3840x2160,10.8,2.82,Windows,2354.8,High-End
Acer,Intel i7,8,SSD,256.0,Nvidia RTX 3080,15.6,3840x2160,5.8,1.52,macOS,2358.06,High-End
HP,AMD Ryzen 7,64,SSD,256.0,AMD Radeon RX 6800,14.0,3840x2160,6.7,1.48,Linux,4813.04,Luxury
MSI,AMD Ryzen 5,64,SSD,512.0,AMD Radeon RX 6800,15.6,1366x768,10.8,3.22,FreeDOS,2792.77,High-End
Microsoft,Intel i3,32,SSD,1024.0,Nvidia RTX 3060,17.3,3840x2160,4.5,2.95,Linux,2567.52,High-End
HP,Intel i3,8,SSD,256.0,Nvidia RTX 3060,17.3,1920x1080,5.3,1.97,FreeDOS,914.84,Mid-End
Microsoft,Intel i7,4,SSD,1024.0,Nvidia RTX 3080,17.3,2560x1440,11.0,2.44,Windows,1602.39,High-End
Microsoft,AMD Ryzen 9,64,SSD,256.0,Integrated,17.3,1920x1080,9.5,2.99,Linux,2922.91,High-End
HP,AMD Ryzen 3,8,SSD,256.0,Nvidia GTX 1650,16.0,1920x1080,11.0,2.82,FreeDOS,873.57,Mid-End
MSI,Intel i3,4,SSD,2048.0,Nvidia RTX 2060,13.3,2560x1440,5.5,1.38,FreeDOS,1119.51,Mid-End
Lenovo,Intel i9,32,SSD,256.0,Nvidia GTX 1650,15.6,3840x2160,9.2,1.61,FreeDOS,4857.55,Luxury
MSI,AMD Ryzen 5,8,HDD,1024.0,Integrated,16.0,3840x2160,5.8,2.48,macOS,1407.17,Mid-End
Lenovo,Intel i7,4,SSD,2048.0,AMD Radeon RX 6800,16.0,1366x768,5.4,1.75,Windows,938.96,Mid-End
Asus,AMD Ryzen 5,4,SSD,2048.0,Nvidia RTX 3060,17.3,3840x2160,9.2,3.3,Linux,1565.19,High-End
Lenovo,AMD Ryzen 3,64,SSD,256.0,AMD Radeon RX 6600,13.3,3840x2160,10.9,1.99,FreeDOS,3422.47,Luxury
Samsung,AMD Ryzen 3,64,SSD,512.0,Nvidia GTX 1650,14.0,2560x1440,7.5,1.91,Linux,2478.83,High-End
Razer,AMD Ryzen 9,16,SSD,1024.0,Nvidia RTX 3060,16.0,1920x1080,10.5,1.88,FreeDOS,3180.88,Luxury
Microsoft,AMD Ryzen 7,8,SSD,2048.0,AMD Radeon RX 6800,16.0,2560x1440,5.7,2.82,Linux,1696.83,High-End
Asus,AMD Ryzen 7,16,SSD,512.0,Nvidia RTX 3060,15.6,3840x2160,10.6,1.81,FreeDOS,2687.06,High-End
HP,Intel i3,4,HDD,1024.0,AMD Radeon RX 6600,14.0,2560x1440,4.9,2.04,macOS,922.21,Mid-End
Razer,Intel i3,32,HDD,1024.0,AMD Radeon RX 6600,14.0,1920x1080,4.9,3.2,FreeDOS,1489.43,Mid-End
Razer,AMD Ryzen 7,64,HDD,1024.0,AMD Radeon RX 6800,14.0,3840x2160,10.1,2.8,Linux,5766.77,Luxury
Asus,AMD Ryzen 3,32,SSD,1024.0,Nvidia RTX 3080,16.0,3840x2160,4.4,1.75,Windows,2490.41,High-End
MSI,Intel i9,64,SSD,512.0,Integrated,17.3,2560x1440,4.7,1.38,FreeDOS,4705.97,Luxury
Lenovo,Intel i7,64,SSD,512.0,AMD Radeon RX 6800,16.0,2560x1440,8.0,2.14,macOS,4036.38,Luxury
MSI,AMD Ryzen 3,4,HDD,1024.0,Nvidia GTX 1650,16.0,2560x1440,6.5,1.89,Windows,1261.77,Mid-End
Samsung,AMD Ryzen 5,8,HDD,1024.0,Integrated,17.3,1366x768,11.0,2.66,Linux,620.44,Low-End
HP,Intel i5,32,SSD,2048.0,Nvidia GTX 1650,13.3,3840x2160,7.4,2.7,Linux,2500.94,High-End
Lenovo,Intel i9,32,SSD,2048.0,Nvidia RTX 2060,15.6,1366x768,10.9,3.17,Windows,2431.14,High-End
Asus,Intel i5,4,SSD,1024.0,Nvidia RTX 3080,14.0,2560x1440,11.5,3.43,macOS,1217.24,Mid-End
MSI,Intel i5,4,SSD,512.0,AMD Radeon RX 6800,16.0,1366x768,5.8,2.4,Linux,954.65,Mid-End
HP,AMD Ryzen 5,8,SSD,1024.0,Nvidia GTX 1650,17.3,1920x1080,5.7,3.07,FreeDOS,1250.43,Mid-End
Acer,AMD Ryzen 5,64,SSD,512.0,Nvidia RTX 3060,17.3,2560x1440,6.3,1.37,Windows,3401.59,Luxury
HP,AMD Ryzen 7,64,SSD,1024.0,Integrated,13.3,1920x1080,4.3,1.31,FreeDOS,2041.37,High-End
Lenovo,Intel i9,64,SSD,1024.0,Nvidia RTX 3080,13.3,2560x1440,10.3,2.99,macOS,4995.89,Luxury
HP,AMD Ryzen 7,4,HDD,1024.0,Nvidia GTX 1650,15.6,1366x768,7.1,2.63,macOS,777.38,Low-End
Acer,Intel i5,8,SSD,2048.0,AMD Radeon RX 6800,16.0,3840x2160,11.7,3.27,Windows,1969.19,High-End
Apple,Intel i5,8,SSD,256.0,Nvidia RTX 2060,14.0,3840x2160,5.2,2.1,Linux,2607.44,High-End
Microsoft,Intel i9,16,HDD,1024.0,Nvidia RTX 3060,15.6,1920x1080,11.3,1.81,macOS,1776.13,High-End
Microsoft,AMD Ryzen 9,32,SSD,1024.0,Nvidia RTX 3080,13.3,1920x1080,11.8,1.28,Linux,2721.4,High-End
HP,AMD Ryzen 5,16,SSD,512.0,AMD Radeon RX 6600,16.0,1366x768,8.9,1.75,Windows,1016.16,Mid-End
Acer,AMD Ryzen 3,4,SSD,1024.0,Integrated,15.6,1920x1080,7.8,1.66,FreeDOS,590.45,Low-End
Razer,Intel i9,8,SSD,1024.0,Nvidia RTX 2060,15.6,1920x1080,8.7,2.78,Linux,2549.6,High-End
Asus,AMD Ryzen 3,32,SSD,512.0,Nvidia RTX 2060,17.3,1920x1080,11.9,1.63,FreeDOS,1609.14,High-End
Acer,AMD Ryzen 7,64,SSD,2048.0,AMD Radeon RX 6800,16.0,3840x2160,6.5,2.09,Linux,5483.75,Luxury
Dell,AMD Ryzen 3,8,SSD,1024.0,Nvidia RTX 3060,15.6,1366x768,5.5,1.28,Linux,728.2,Low-End
Acer,Intel i3,4,SSD,1024.0,Nvidia GTX 1650,13.3,1366x768,8.9,3.45,Windows,545.58,Low-End
Apple,Intel i5,16,SSD,512.0,Integrated,17.3,1366x768,11.6,2.83,Linux,1092.08,Mid-End
Razer,Intel i3,8,SSD,1024.0,AMD Radeon RX 6600,17.3,2560x1440,11.7,1.76,FreeDOS,1641.64,High-End
Razer,Intel i9,16,SSD,512.0,Nvidia RTX 3080,17.3,1920x1080,4.5,2.85,FreeDOS,3066.57,Luxury
Samsung,AMD Ryzen 9,32,SSD,512.0,Integrated,15.6,1366x768,6.4,3.01,Linux,1735.86,High-End
Asus,AMD Ryzen 9,8,SSD,512.0,Nvidia RTX 3080,14.0,3840x2160,8.0,1.77,Windows,2895.86,High-End
Samsung,AMD Ryzen 9,4,HDD,1024.0,AMD Radeon RX 6600,14.0,3840x2160,4.4,2.52,macOS,2072.73,High-End
Dell,AMD Ryzen 7,16,SSD,2048.0,Nvidia GTX 1650,14.0,1366x768,4.6,3.22,FreeDOS,1178.4,Mid-End
Apple,AMD Ryzen 9,16,SSD,1024.0,AMD Radeon RX 6600,13.3,3840x2160,11.4,1.79,FreeDOS,4918.11,Luxury
Microsoft,AMD Ryzen 5,64,SSD,512.0,Nvidia GTX 1650,17.3,3840x2160,11.4,2.12,Windows,4348.8,Luxury
Samsung,AMD Ryzen 3,4,SSD,512.0,Nvidia GTX 1650,14.0,1920x1080,6.6,2.82,macOS,734.88,Low-End
Razer,Intel i5,4,SSD,512.0,AMD Radeon RX 6800,16.0,1920x1080,6.6,2.83,Windows,1369.42,Mid-End
Acer,AMD Ryzen 3,64,SSD,1024.0,Integrated,15.6,3840x2160,7.6,1.8,FreeDOS,2531.45,High-End
Samsung,Intel i7,16,SSD,2048.0,Nvidia RTX 2060,17.3,2560x1440,10.4,1.42,Windows,2018.16,High-End
Acer,Intel i9,32,SSD,512.0,Integrated,15.6,1366x768,11.6,2.55,Windows,1633.4,High-End
Lenovo,AMD Ryzen 7,4,SSD,512.0,Nvidia GTX 1650,15.6,2560x1440,10.4,3.1,Windows,1528.92,High-End
Microsoft,AMD Ryzen 5,64,SSD,512.0,Nvidia RTX 3080,13.3,3840x2160,7.9,1.85,Windows,3845.91,Luxury
Apple,AMD Ryzen 5,16,SSD,256.0,Nvidia RTX 3080,15.6,1920x1080,9.8,1.45,macOS,1864.34,High-End
Apple,AMD Ryzen 3,16,SSD,1024.0,Integrated,17.3,3840x2160,9.2,1.94,Linux,1828.29,High-End
Apple,Intel i3,64,SSD,512.0,AMD Radeon RX 6600,14.0,2560x1440,7.0,1.35,FreeDOS,3838.22,Luxury
Razer,AMD Ryzen 3,32,SSD,512.0,Nvidia RTX 3060,16.0,2560x1440,5.8,1.86,FreeDOS,2475.0,High-End
Microsoft,AMD Ryzen 5,32,SSD,1024.0,Nvidia RTX 2060,13.3,3840x2160,12.0,2.5,Windows,2631.83,High-End
Samsung,Intel i3,4,SSD,2048.0,Integrated,17.3,1920x1080,11.5,3.29,Windows,462.82,Low-End
Dell,AMD Ryzen 7,16,SSD,2048.0,AMD Radeon RX 6600,13.3,1366x768,9.4,2.42,FreeDOS,1381.3,Mid-End
Razer,AMD Ryzen 9,4,SSD,512.0,AMD Radeon RX 6600,16.0,1920x1080,6.5,2.32,macOS,2225.01,High-End
Acer,Intel i9,64,SSD,1024.0,Integrated,15.6,1920x1080,8.3,3.06,macOS,2970.68,High-End
Asus,AMD Ryzen 3,64,SSD,256.0,AMD Radeon RX 6600,14.0,1366x768,11.1,3.26,FreeDOS,1697.07,High-End
Acer,AMD Ryzen 3,32,HDD,1024.0,Nvidia RTX 3060,17.3,1920x1080,7.1,1.41,FreeDOS,1321.09,Mid-End
Dell,AMD Ryzen 9,32,SSD,256.0,AMD Radeon RX 6800,16.0,2560x1440,6.8,2.32,Linux,3739.27,Luxury
Apple,AMD Ryzen 3,4,SSD,2048.0,Nvidia RTX 3060,16.0,1920x1080,7.9,2.69,FreeDOS,1134.98,Mid-End
Samsung,AMD Ryzen 5,64,SSD,2048.0,Nvidia GTX 1650,13.3,1366x768,10.9,2.33,Windows,2105.65,High-End
HP,AMD Ryzen 9,8,SSD,256.0,Nvidia RTX 3060,14.0,1366x768,11.8,3.28,Linux,1434.82,Mid-End
MSI,AMD Ryzen 7,4,SSD,1024.0,Nvidia GTX 1650,17.3,3840x2160,10.5,1.33,FreeDOS,2551.92,High-End
Microsoft,Intel i5,32,HDD,1024.0,AMD Radeon RX 6800,16.0,1366x768,4.3,2.42,Windows,1118.11,Mid-End
Samsung,AMD Ryzen 9,16,SSD,2048.0,AMD Radeon RX 6600,16.0,3840x2160,6.3,1.56,Linux,3729.28,Luxury
Microsoft,Intel i3,8,HDD,1024.0,Nvidia GTX 1650,14.0,2560x1440,10.4,3.06,Linux,1001.65,Mid-End
Asus,Intel i7,16,SSD,2048.0,Nvidia GTX 1650,14.0,3840x2160,4.1,2.59,Windows,2352.27,High-End
HP,AMD Ryzen 3,64,SSD,1024.0,Nvidia RTX 2060,15.6,1920x1080,6.7,1.24,FreeDOS,2144.65,High-End
Dell,AMD Ryzen 9,4,HDD,1024.0,Nvidia GTX 1650,14.0,2560x1440,6.0,2.56,Linux,1443.2,Mid-End
Acer,AMD Ryzen 3,8,HDD,1024.0,Integrated,17.3,1920x1080,4.4,3.49,FreeDOS,554.72,Low-End
Apple,Intel i5,8,SSD,512.0,Integrated,13.3,1920x1080,5.7,1.24,macOS,1087.07,Mid-End
Samsung,Intel i7,16,SSD,256.0,Nvidia RTX 3080,14.0,1920x1080,11.5,3.3,FreeDOS,1619.29,High-End
Apple,Intel i5,64,SSD,512.0,AMD Radeon RX 6600,17.3,1920x1080,9.4,2.82,FreeDOS,3998.58,Luxury
Apple,Intel i3,64,HDD,1024.0,Integrated,15.6,1366x768,6.8,1.79,Windows,1468.97,Mid-End
Samsung,AMD Ryzen 5,16,HDD,1024.0,Nvidia RTX 3080,17.3,1366x768,7.9,2.07,macOS,908.56,Mid-End
HP,AMD Ryzen 9,32,SSD,1024.0,Nvidia RTX 3060,17.3,2560x1440,4.2,2.36,FreeDOS,3667.64,Luxury
Samsung,AMD Ryzen 3,16,SSD,256.0,AMD Radeon RX 6600,15.6,2560x1440,4.9,2.5,Linux,1314.19,Mid-End
Asus,AMD Ryzen 9,32,SSD,1024.0,AMD Radeon RX 6600,13.3,1366x768,9.6,3.17,FreeDOS,2194.29,High-End
Lenovo,AMD Ryzen 3,4,SSD,1024.0,Nvidia RTX 2060,17.3,1920x1080,6.7,1.28,Linux,900.51,Mid-End
Dell,AMD Ryzen 7,4,SSD,1024.0,Nvidia RTX 3060,13.3,3840x2160,5.5,1.54,FreeDOS,1734.63,High-End
Samsung,Intel i7,16,SSD,512.0,AMD Radeon RX 6600,13.3,3840x2160,9.5,2.62,Windows,2617.78,High-End
Razer,AMD Ryzen 5,4,SSD,1024.0,Nvidia RTX 3080,13.3,3840x2160,11.6,1.82,macOS,2088.13,High-End
Razer,Intel i7,64,SSD,256.0,Nvidia RTX 2060,15.6,2560x1440,6.2,2.21,FreeDOS,5519.35,Luxury
Dell,AMD Ryzen 7,4,SSD,1024.0,Nvidia RTX 3080,15.6,2560x1440,7.8,2.22,Linux,1683.6,High-End
Microsoft,AMD Ryzen 7,4,SSD,1024.0,AMD Radeon RX 6800,13.3,1920x1080,11.8,1.68,Windows,1131.03,Mid-End
